"","lat","lon","x"
"1",-98.5,27,244
"2",-116,34.5,346
"3",-113.5,34.5,119
"4",-106.5,34.5,17
"5",-100,34.5,66
"6",-93.5,34.5,110
"7",-86.5,34.5,236
"8",-80,34.5,148
"9",-73.5,34.5,7
"10",-66.5,34.5,3
"11",-121,39.5,162
"12",-113.5,39.5,27
"13",-106.5,39.5,64
"14",-100,39.5,17
"15",-93.5,39.5,180
"16",-86.5,39.5,275
"17",-80,39.5,287
"18",-73.5,39.5,787
"19",-66.5,44.5,1
"20",-121,45.5,73
"21",-113.5,45.5,18
"22",-106.5,45.5,5
"23",-100,45.5,10
"24",-93.5,45.5,70
"25",-86.5,45.5,67
